4,3,1,54,37.524834,126.977706,국립중앙박물관,용산구 서빙고로 137,http://www.museum.go.kr/
4,3,4,55,37.524108,126.981055,국립한글박물관,용산구 서빙고로 139,https://www.hangeul.go.kr/
4,3,3,56,37.538642,126.999222,삼성미술관리움,용산구 이태원로 55길 60-16,http://leeum.samsungfoundation.org/
4,3,7,57,37.524317,127.032782,스페이스 씨,강남구 언주로 827,http://www.spacec.co.kr/
4,3,2,58,37.536419,126.977774,전쟁기념관,용산구 이태원로 29,http://www.warmemo.or.kr/
4,1,2,59,37.571312,127.03499,청계전박물관,성동구 청계전초 530,cgcm.museum.seoul.kr/
4,2,1,60,37.553761,126.921791,트릭아이 뮤지엄,마포구 서교동 홍익로 3길 20,trickeye.com
4,3,5,61,37.527204,127.02641,한류체험관,강남구 압구정동 428,http://tour.gangnam.go.kr/
4,3,6,62,37.522826,127.036303,호림아트센터,강남구 도산대로 317,http://horimmuseum.org/artcenter/
4,4,9,63,37.5558613,126.96949,문화역서울 284,중구 회현동 통일로 1,seoul284.org
4,4,12,64,37.5638756,126.9703099,배재학당역사박물관,중구 서소문로11길 19,appenzeller.pcu.ac.kr
4,4,11,65,37.5721283,126.9738961,세종이야기/충무공이야기,종로구 세종로 81-3,sejongstory.or.kr
4,4,13,66,37.5698367,126.9700217,세화미술관,종로구 신문로1가 63,NULL
4,4,14,67,37.5797732,127.0024103,쇳대박물관,종로구 이화동 이화장길 100,lockmuseum.co.kr
4,4,10,68,37.5738236,126.9824007,인사아트센터,"41-1 인사동길, 종로1.2.3.4가동 종로구",insaartcenter.com
4,1,3,69,37.54578,127.042347,갤러리아포레,성동구 서울숲2길 32-14,NULL
4,1,1,70,37.590826,127.043524,세종대왕기념관,동대문구 회기로 56,http://sejongkorea.org/
5,2,3,71,37.477594,126.889165,가산 디지털단지 패션 아울렛,금천구 디지털로10길 9,https://store.naver.com/attractions/list?display=9&query=%EA%B0%80%EC%82%B0%20%EC%95%84%EC%9A%B8%EB%A0%9B&sortingOrder=precision&start=1
5,3,1,72,37.498333,127.028239,강남 지하쇼핑센터,강남구 강남대로 396,NULL
5,2,4,73,37.520024,126.940066,갤러리아 면세점,영등포구 여의도동 영등포구63로 50,www.galleria-dfs.com/event/eventDetail.idf?input_event_no=63dutyfree&stage_chasu=0000000
5,4,-1,74,37.559175,126.977669,남대문시장,남대문시장4길 21,www.namdaemunmarket.co.kr
5,4,1,75,37.5591828,126.9754805,남대문시장,중구 회현동 남대문시장4길 21,namdaemunmarket.co.kr
5,4,14,76,37.5634249,126.9806758,눈스퀘어,중구 명동2가 83-5,noonsquare.com
5,4,3,77,37.5674895,127.006746,동대문 패션타운,중구 장충단로 253,NULL
5,4,6,78,37.5704193,127.0067626,동대문종합시장,종로구 종로6가 종로 266,ddm-mall.co.kr
